Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Pineapples,Dozen,13,KES750.00,2/1/2013 0:00
Horticulture,Limes,net,13,KES710.00,2/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES927.00,2/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES1957.00,2/1/2013 0:00
Horticulture,Lemons,Bag,95,KES2051.00,2/1/2013 0:00
Horticulture,Oranges,Bag,93,KES3230.00,2/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES2955.00,2/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES3476.00,2/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES2483.00,2/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1836.00,2/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2517.00,2/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES2251.00,2/1/2013 0:00
Horticulture,Chillies,Bag,38,KES2989.00,2/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES2254.00,2/1/2013 0:00
Horticulture,Onions Dry,net,13,KES792.00,2/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES2969.00,2/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES2669.00,2/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES708.00,2/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES1798.00,2/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES1667.00,3/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES539.00,3/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES607.00,3/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES2969.00,3/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES3669.00,3/1/2013 0:00
Horticulture,Onions Dry,net,13,KES883.00,3/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES2159.00,3/1/2013 0:00
Horticulture,Chillies,Bag,38,KES2377.00,3/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES2742.00,3/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2750.00,3/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1587.00,3/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES2452.00,3/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES3470.00,3/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES3988.00,3/1/2013 0:00
Horticulture,Oranges,Bag,93,KES3053.00,3/1/2013 0:00
Horticulture,Lemons,Bag,95,KES2039.00,3/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES2105.00,3/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1149.00,3/1/2013 0:00
Horticulture,Limes,net,13,KES679.00,3/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES728.00,3/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1521.00,3/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2322.00,3/1/2013 0:00
Horticulture,Kales,Bag,50,KES1039.00,3/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES1638.00,4/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES545.00,4/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES620.00,4/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES3223.00,4/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES5182.00,4/1/2013 0:00
Horticulture,Onions Dry,net,13,KES850.00,4/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES2194.00,4/1/2013 0:00
Horticulture,Chillies,Bag,38,KES3064.00,4/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES2405.00,4/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2930.00,4/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1664.00,4/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES3781.00,4/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES3202.00,4/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES3725.00,4/1/2013 0:00
Horticulture,Oranges,Bag,93,KES2948.00,4/1/2013 0:00
Horticulture,Lemons,Bag,95,KES1960.00,4/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES2444.00,4/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES770.00,4/1/2013 0:00
Horticulture,Limes,net,13,KES635.00,4/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES780.00,4/1/2013 0:00
